name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Miles Austin	PHI	0.0	0.0	0.0	6.9	88.9	0.7	0.0	12.8	WR
Joseph Morgan	NO	0.0	0.8	0.0	5.6	84.6	0.6	0.0	12.2	WR
Darrius Heyward-Bey	PIT	0.2	0.8	0.0	8.3	93.5	0.4	0.3	11.4	WR
Walt Powell	NYJ	0.0	0.0	0.0	6.2	79.8	0.4	0.0	10.1	WR
Saalim Hakim	FA	0.0	0.0	0.0	6.0	81.7	0.3	0.0	9.7	WR
Terrelle Pryor	CLE	4.5	29.9	0.1	3.8	48.5	0.2	0.1	9.7	WR
Matt Slater	NE	0.0	0.0	0.0	5.6	70.6	0.4	0.0	9.5	WR
Jeff Maehl	PHI	0.0	0.0	0.0	6.3	70.5	0.4	0.0	9.4	WR
Rashad Ross	WAS	0.0	0.0	0.0	5.7	71.7	0.3	0.0	8.9	WR
Austin Pettis	SD	0.0	0.0	0.0	5.2	62.7	0.4	0.0	8.8	WR
Marlon Moore	CLE	0.0	-0.2	0.0	5.8	71.9	0.2	0.0	8.6	WR
Ryan Spadola	ARI	0.0	0.0	0.0	5.1	64.6	0.3	0.0	8.1	WR
Deonte Thompson	BUF	0.0	0.0	0.0	5.1	59.9	0.3	0.0	7.7	WR
DeVier Posey	FA	0.0	0.0	0.0	6.0	77.0	0.0	0.0	7.7	WR
Robert Herron	TB	0.0	0.0	0.0	5.0	77.0	0.0	0.0	7.7	WR
Kevin Dorsey	NE	0.0	0.0	0.0	4.7	55.5	0.4	0.0	7.7	WR
Eric Weems	ATL	0.0	0.0	0.0	4.3	57.1	0.3	0.0	7.5	WR
Marquise Goodwin	BUF	0.1	-0.8	0.0	4.6	63.9	0.2	0.0	7.4	WR
Stefon Diggs	MIN	0.0	0.0	0.0	4.7	61.4	0.2	0.0	7.3	WR
Chris Givens	STL	0.0	0.1	0.0	4.7	67.4	0.1	0.0	7.3	WR
Brenton Bersin	CAR	0.0	0.0	0.0	4.0	55.1	0.3	0.1	7.2	WR
